74198   | 42806   | gamma Cnc
74442   | 42911   | delta Cnc
74521   | 42917   | 49 Cnc
74485   | 42954   | 46 Cnc
74738   | 43100   | iota B Cnc
74739   | 43103   | iota A Cnc
74873   | 43121   | 50 Cnc
75528   | 43454   | 54 Cnc
75558   | 43463   | 52 Cnc
75716   | 43575   | 53 Cnc
75698   | 43584   | sigma 1 Cnc
75732   | 43587   | rho 1 Cnc
75959   | 43721B  | 57B Cnc
75959   | 43721A  | 57A Cnc
76219   | 43834   | rho 2 Cnc
76351   | 43851   | 60 Cnc
76398   | 43932   | sigma 2 Cnc
77002   | 43937   | beta 1 Car
76543   | 43970   | omicron 1 Cnc
76582   | 44001   | omicron 2 Cnc
76572   | 44031   | 61 Cnc
76756   | 44066   | alpha Cnc
77370   | 44143   | beta 2 Car
76813   | 44154   | sigma 3 Cnc
77104   | 44307A  | sigma 4A Cnc
77104   | 44307B  | sigma 4B Cnc
77230   | 44336   | 68 Cnc
77190   | 44342   | 67 Cnc
77350   | 44405   | nu Cnc
77557   | 44512   | 70 Cnc
77892   | 44637   | 71 Cnc
78316   | 44798   | kappa Cnc
78235   | 44818   | tau Cnc
78418   | 44892   | 75 Cnc
78479   | 44918   | 78 Cnc
78515   | 44946   | xi Cnc
78715   | 45033   | 79 Cnc
79009   | 45153   | 80 Cnc
79096   | 45170   | 81 Cnc
80007   | 45238   | beta Car
79554   | 45410   | pi Cnc
80230   | 45496   | gamma Car
80404   | 45556   | iota Car
80218   | 45699   | 83 Cnc
81101   | 45856   | kappa Car
82554   | 46107   | iota Cha
82150   | 46515   | epsilon Ant
82383   | 46657B  | zeta 1B Ant
82384   | 46657A  | zeta 1A Ant
82513   | 46734   | zeta 2 Ant
83979   | 46928   | zeta Cha
84367   | 47758   | theta Ant
85396   | 47956   | nu Cha
85123   | 48002A  | upsilon A Car
85124   | 48002B  | upsilon B Car
86629   | 48926   | eta Ant
87971   | 49065   | mu 1 Cha
88351   | 49326   | mu 2 Cha
89080   | 50099   | omega Car
90610   | 51172   | alpha Ant
90972   | 51376A  | delta A Ant
92305   | 51839   | gamma Cha
93030   | 52419   | theta Car
93779   | 52595A  | delta 1A Cha
93845   | 52633   | delta 2 Cha
94890   | 53502   | iota Ant
95272   | 53740   | alpha Crt
97277   | 54682   | beta Crt
97411   | 54742   | psi Crt
98430   | 55282   | delta Crt
98718   | 55425A  | pi A Cen
98718   | 55425B  | pi B Cen
98991   | 55598   | lambda Crt
99167   | 55687   | epsilon Crt
99211   | 55705   | gamma Crt
99564   | 55874   | kappa Crt
100261  | 56243   | omicron 1 Cen
100262  | 56250   | omicron 2 Cen
100841  | 56561   | lambda Cen
100889  | 56633   | theta Crt
101132  | 56675   | pi Cha
101198  | 56802   | iota Crt
102070  | 57283A  | zeta A Crt
103632  | 58188   | eta Crt
104174  | 58484B  | epsilon B Cha
104174  | 58484A  | epsilon A Cha
104452  | 58661   | 1 Com
104671  | 58758   | theta 1 Cru
104827  | 58858B  | 2B Com
104827  | 58858A  | 2A Com
104841  | 58867   | theta 2 Cru
104902  | 58905   | kappa Cha
105211  | 59072   | eta Cru
105435  | 59196   | delta Cen
105452  | 59199   | alpha Crv
105707  | 59316   | epsilon Crv
105778  | 59352   | 3 Com
105850  | 59394   | 3 Crv
105937  | 59449   | rho Cen
105981  | 59468   | 4 Com
106057  | 59501   | 5 Com
106490  | 59747   | delta Cru
106625  | 59803   | gamma Crv
106661  | 59819   | 6 Com
106690  | 59827   | 2 CVn
106714  | 59847   | 7 Com
106911  | 60000   | beta Cha
106983  | 60009   | zeta Cru
107168  | 60087   | 8 Com
107213  | 60098   | 9 Com
107274  | 60122   | 3 CVn
107276  | 60123   | 10 Com
107348  | 60189   | zeta Crv
107383  | 60202   | 11 Com
107446  | 60260   | epsilon Cru
107700  | 60351   | 12 Com
107815  | 60425   | 6 Crv
107904  | 60467   | 4 CVn
107950  | 60485   | 5 CVn
107966  | 60514   | 13 Com
108225  | 60646   | 6 CVn
108283  | 60697   | 14 Com
108248  | 60718A  | alpha 1 Cru
108249  | 60718B  | alpha 2 Cru
108381  | 60742   | gamma Com
108382  | 60746   | 16 Com
108483  | 60823   | sigma Cen
108541  | 60855   | upsilon Cen
108651  | 60891   | 17BC Com
108662  | 60904   | 17A Com
108722  | 60941   | 18 Com
108765  | 60957   | 20 Com
108767  | 60965   | delta Crv
108845  | 60988   | 7 CVn
108945  | 61071   | 21 Com
108903  | 61084   | gamma A Cru
109085  | 61174   | eta Crv
109307  | 61295   | 22 Com
109358  | 61317   | beta CVn
109379  | 61359   | beta Crv
109485  | 61394B  | 23BCom
109485  | 61394A  | 23A Com
109510  | 61415   | 24B Com
109511  | 61418   | 24A Com
109742  | 61571   | 25 Com
109787  | 61622   | tau Cen
109980  | 61692   | 9 CVn
110024  | 61724   | 26 Com
110304  | 61932B  | gamma B Cen
110304  | 61932A  | gamma A Cen
110897  | 62207   | 10 CVn
110829  | 62268   | iota Cru
111067  | 62356   | 27 Com
111123  | 62434   | beta Cru
111308  | 62478   | 28 Com
111421  | 62516   | 11 CVn
111397  | 62541   | 29 Com
111469  | 62576   | 30 Com
111812  | 62763   | 31 Com
111862  | 62807   | 32 Com
111892  | 62819   | 33 Com
112033  | 62886A  | 35A Com
112033  | 62886B  | 35B Com
111973  | 62931   | kappa Cru
112092  | 63003   | mu 1 Cru
112091  | 63005   | mu 2 Cru
112078  | 63007   | lambda Cru
112412  | 63121   | alpha 1 CVn
112413  | 63125   | alpha 2 CVn
112769  | 63355   | 36 Com
112989  | 63462A  | 37A Com
113095  | 63533   | 38 Com
113314  | 63724   | xi 1 Cen
113797  | 63901   | 14 CVn
113848  | 63948B  | 39B Com
113848  | 63948A  | 39A Com
113866  | 63950   | 40 Com
113791  | 64004   | xi 2 Cen
113996  | 64022   | 41 Com
114376  | 64217   | 15 CVn
114378  | 64241   | alpha A Com
114427  | 64244   | 16 CVn
114447  | 64246   | 17 CVn
114674  | 64355   | 18 CVn
114710  | 64394   | beta Com
115271  | 64692A  | 19A CVn
115604  | 64844   | 20 CVn
115735  | 64906   | 21 CVn
116010  | 65072   | 23 CVn
115892  | 65109   | iota Cen
118232  | 66234   | 24 CVn
118623  | 66458A  | 25A CVn
118623  | 66458B  | 25B CVn
118716  | 66657   | epsilon Cen
119055  | 66727A  | 1A Boo
119126  | 66763   | 2 Boo
119756  | 67153   | 1 Cen
120064  | 67239   | 3 Boo
120136  | 67275   | tau Boo
120323  | 67457   | 2 Cen
120477  | 67459   | upsilon Boo
120307  | 67464   | nu Cen
120324  | 67472   | mu Cen
120539  | 67480   | 6 Boo
120709  | 67669A  | 3A Cen
120710  | 67669B  | 3B Cen
120955  | 67786A  | 4A Cen
121107  | 67787   | 7 Boo
121370  | 67927   | eta Boo
121263  | 68002   | zeta Cen
121710  | 68103   | 9 Boo
121743  | 68245   | phi Cen
121996  | 68276   | 10 Boo
121790  | 68282   | upsilon 1 Cen
122405  | 68478   | 11 Boo
122223  | 68523   | upsilon 2 Cen
122451  | 68702B  | beta B Cen
122451  | 68702A  | beta A Cen
122250  | 68815   | theta Aps
122980  | 68862   | chi Cen
123139  | 68933   | theta Cen
123782  | 69068   | 13 Boo
123999  | 69226   | 12 Boo
124674  | 69481   | kappa 1 Boo
124675  | 69483   | kappa 2 Boo
124570  | 69536   | 14 Boo
124679  | 69612A  | 15A Boo
124679  | 69612B  | 15B Boo
124897  | 69673B  | alpha B Boo
125161  | 69713   | iota Boo
125162  | 69732   | lambda Boo
123998  | 69896   | eta Aps
125451  | 69989   | 18 Boo
125560  | 70027   | 20 Boo
125473  | 70090   | psi Cen
124771  | 70248   | epsilon Aps
126660  | 70497   | theta Boo
126661  | 70602   | 22 Boo
127243  | 70791   | 24 Boo
127665  | 71053   | rho Boo
127762  | 71075   | gamma Boo
127739  | 71115   | 26 Boo
128167  | 71284   | sigma Boo
127972  | 71352   | eta Cen
129002  | 71618   | 33 Boo
128621  | 71681   | alpha 2 Cen
128620  | 71683   | alpha 1 Cen
129174  | 71762A  | pi 1 Boo
129175  | 71762B  | pi 2 Boo
129247  | 71795A  | zeta A Boo
129246  | 71795B  | zeta B Boo
