Hip|HD|BayerFlamsteed|ProperName
||Sol|Sol
  3717|  4585|          | 
  3719|  4550||
  3721|  4382| 23    Cas| 
  3724| ||
  3730|  4568| 61    Psc| 
  3736|  4536||
  3741|  4622|          | 
  3750|  4440|          | 
  3755|  4523||
  3757| ||
  3760|  4627| 62    Psc| 
  3765|  4628|          |96 G. Psc
  3781|  4815|   Lam Hyi| 
  3786|  4656| 63Del Psc| 
  3787|  4615||
  3788|  4691||
  3796|  4429||
  3801|  4636| 25Nu  Cas| 
  3807|  4737|          | 
  3810|  4676| 64    Psc| 
  3813| || 
  3823|  4698||
  3821|  4614| 24Eta Cas| 
  3825|  4714||
  3829| ||Van Maanen's Star
  3830|  4686||
  3833|  4647||
  3834|  4732|          | 
  3840|  4685||
  3849|  4730|          | 
  3850|  4747|| 
  3854|  4695||
  3858|  4772|          | 
  3865|  4701||
  3876|  4635||
  3879|  4838||
  3881|  4727| 35Nu  And| 
  3885|  4757| 65    Psc| 
  3889|  4790||
  3894|  4860||
  3897|  4756||
  3901|  4667||
  3903|  4849|          | 
  3905|  4499||
  3909|  4813| 19Phi2Cet| 
  3914|  4798||
  3919|  4778|          | 
  3930| ||
  3937| || 
  3946|  4831||
  3949|  4919|   Rho Phe| 
  3951|  4775|          | 
  3961|  5028||
  3964|  4666||
  3965|  4818|          | 
  3979|  4915||
  3981|  4869||
  3988|  4817|          | 
  3992|  4928|          | 
  3995|  4939||
  3998|  4913|| 
  3999|  4975||
  4005|  4903||
  4006|  4841||
  4010|  4989||
  4012| || 
  4017|  4902||
  4021|  4965||
  4022|  4967|| 
  4023|  4881|          | 
  4024|  4972||
  4025|  4935||
  4030|  4934||
  4031|  4971||
  4038|  4912||
  4041|  4741||
  4049|  5042|          | 
  4051|  4924||
  4058|  4961||
  4061| ||
  4067| ||
  4072|  5058||
  4084|  5190|   Lam1Tuc| 
  4087|  5036||
  4089|  5038||
  4100|  5006||
  4103|  5035||
  4104|  5098|          | 
  4106|  5097||
  4116|  4947||
  4120|  5086||
  4127|  5065||
  4129|  5066|          | 
  4147|  5112| 20    Cet| 
  4148|  5133|| 
  4151|  5015|          | 
  4155|  5032||
  4159|  5092||
  4164|  5156|          | 
  4171|  5119||
  4174|  5083||
  4176|  5143||
  4179|  4993||
  4189| ||
  4185|  5118|          | 
  4194|  5185||
  4196|  5138||
  4197|  5137||
  4200|  5276|          | 
  4205|  5129||
  4207|  5181||
  4209|  5202||
  4212|  5128|          | 
  4220|  5164||
  4223| ||
  4232|  5275||
  4235|  5197||
  4237|  5136||
  4239|  5110||
  4246|  5196||
  4254|  5322||
  4257|  5268| 21    Cet| 
  4264|  5177||
  4267|  5267| 66    Psc| 
  4283|  4853|          | 
  4288|  5286| 36    And| 
  4289|  5366||
  4290|  5294|| 
  4291|  5499||
  4292|  5234| 26Ups1Cas| 
  4293|  5457|   Lam2Tuc| 
  4298|  5273|          | 
  4305|  5258||
  4310|  5349||
  4311|  5388||
  4312| ||
  4317|  5316|          | 
  4323|  5336||
  4326|  5377||
  4328| || 
  4329|  5328||
  4346|  5384|          | 
  4353|  5425|| 
  4360|  5474||
  4363|  5445|          | 
  4365| ||
  4366|  5382| 67    Psc| 
  4371|  5437| 22Phi3Cet| 
  4374|  5435||
  4380|  5442||
  4382|  5418||
  4383|  5343|          | 
  4390|  5397||
  4393|  5372||
  4394| ||
  4395|  5562||
  4411|  5431||
  4422|  5395| 28Ups2Cas| 
  4427|  5394| 27Gam Cas| 
  4436|  5448| 37Mu  And| 
  4439|  5506||
  4440|  5408|          | 
  4442|  5524||
  4443| ||
  4446|  5357|          | 
  4448|  5578||
  4449|  5392||
  4454|  5351|| 
  4463|  5516| 38Eta And| 
  4466|  5468||
  4468| ||
  4473|  5633|| 
  4475|  5459||
  4477|  5492||
  4478| || 
  4479|  5811||
  4482| ||
  4486|  5556||
  4496|  5617||
  4501|  5526|          | 
  4500|  5588||
  4510|  5575| 68    Psc| 
  4511|  5624||
  4512|  5756||
  4517|  5585||
  4519|  5407||
  4520|  5612|          | 
  4523|  5554||
  4534|  5582||
  4540|  5659||
  4542|  5597||
  4550|  5490||
  4552|  5608|          | 
  4555|  5596||
  4558|  5641|          | 
  4559|  5654||
  4563|  5771|          | 
  4566|  5651||
  4569| || 
  4571|  5650||
  4572|  5550|          | 
  4577|  5737|   Alp Scl| 
  4584|  5638||
  4586|  5735||
  4587|  5722| 23Phi4Cet| 
  4592|  5720||
  4608|  5705||
  4612|  5704||
  4617|  5312||
  4637|  5728||
  4643| ||
  4655|  5820|          | 
  4657|  5835||
  4658|  5904||
  4672|  5764||
  4674|  5747||
  4675|  5788|          | 
  4676|  5861||
  4688|  5799||
  4689|  5857|| 
  4691| || 
  4696|  5873||
  4699| ||
  4703|  5871||
  4704|  5534||
  4705|  5883||
  4709|  5715|          | 
  4710|  5854||
  4713|  5813||
  4716|  5934||
  4719|  5963||
  4724|  6013||
